state,zipcode,number_of_returns,adjusted_gross_income_agi,avg_agi,number_of_returns_with_total_income,total_income_amount,avg_total_income,number_of_returns_with_taxable_income,taxable_income_amount,avg_taxable_income
NY,0,9310490,713599216,76.64464663,9310480,723835791,77.74419697,7023550,498735558,71.00904215
NY,10001,13720,2094642,152.6706997,13720,2127995,155.1016764,11230,1695611,150.9894034
NY,10002,43410,2002349,46.12644552,43410,2033619,46.84678645,25490,1347603,52.86790898
NY,10003,29340,6135126,209.104499,29340,6229147,212.309032,26080,4984488,191.1230061
NY,10004,2580,892142,345.7914729,2580,904779,350.6895349,2380,727900,305.8403361
NY,10005,5660,5343796,944.1335689,5660,5371221,948.9789753,5260,4332890,823.743346
NY,10006,2360,421654,178.6669492,2360,428551,181.5894068,2180,347745,159.516055
NY,10007,3460,1712816,495.033526,3460,1733784,501.0936416,3150,1438572,456.6895238
NY,10009,32170,2299944,71.49344109,32170,2336842,72.64041032,26040,1728734,66.38763441
NY,10010,17270,3424038,198.265084,17270,3472481,201.0701216,15560,2790756,179.3544987
NY,10011,30420,7422443,243.9987837,30420,7536603,247.7515779,27030,5976608,221.1101739
NY,10012,12780,2682639,209.9091549,12780,2720880,212.9014085,11220,2204889,196.5141711
NY,10013,15060,4872698,323.552324,15060,4935026,327.6909695,11420,3969171,347.5631349
NY,10014,18950,4861288,256.5323483,18950,4930162,260.1668602,17050,3994986,234.3100293
NY,10016,30970,8730077,281.8881821,30970,8814856,284.6256377,27930,5085693,182.0871106
NY,10017,11870,4079743,343.7020219,11870,4126925,347.6769166,10660,3278880,307.587242
NY,10018,6230,2550416,409.376565,6230,2573118,413.0205457,5340,1992534,373.1337079
NY,10019,24200,6040781,249.6190496,24200,6108825,252.4307851,21190,4753984,224.3503539
NY,10021,23860,11744436,492.2227997,23860,11877178,497.7861693,21520,9137327,424.5969796
NY,10022,19780,10036729,507.4180485,19780,10328745,522.1812437,17810,6750437,379.0250983
NY,10023,33900,10708893,315.8965487,33900,10861855,320.4087021,29980,8628787,287.8181121
NY,10024,30820,9152767,296.9749189,30820,9317798,302.3295912,27140,7219049,265.9929624
NY,10025,46200,6051861,130.9926623,46200,6184796,133.8700433,38300,4693728,122.5516449
NY,10026,17660,993545,56.25962627,17660,1008610,57.11268403,12780,686073,53.68333333
NY,10027,26780,1396419,52.14410007,26780,1417654,52.93704257,18890,952917,50.44557967
NY,10028,25370,8970406,353.5832085,25370,9092931,358.4127316,22910,7197520,314.1649935
NY,10029,34300,1714185,49.97623907,34300,1736681,50.63209913,22910,1152482,50.30475775
NY,10030,13240,472006,35.65,13240,478156,36.11450151,8820,280819,31.83888889
