,STATION,zipcode
0,59 ST,10023
1,5 AV/59 ST,10065
2,57 ST-7 AV,10106
3,49 ST,10019
4,TIMES SQ-42 ST,10036
5,34 ST-HERALD SQ,10001
6,28 ST,10001
7,23 ST,10011
8,14 ST-UNION SQ,10003
9,8 ST-NYU,10003
10,PRINCE ST,10012
11,CANAL ST,10013
12,CITY HALL,10007
13,CORTLANDT ST,10007
14,RECTOR ST,10006
15,WHITEHALL S-FRY,10004
16,DELANCEY/ESSEX,10002
17,BOWERY,10002
18,CHAMBERS ST,10007
19,FULTON ST,10038
20,BROAD ST,10005
21,7 AV,10019
22,PARK PLACE,10007
23,BOTANIC GARDEN,10458
24,PROSPECT PARK,11226
25,PARKSIDE AV,11226
26,CHURCH AV,11226
27,BEVERLEY ROAD,11226
28,CORTELYOU RD,11226
29,NEWKIRK PLAZA,11226
30,AVENUE H,11230
31,AVENUE J,11230
32,AVENUE M,11230
33,KINGS HWY,10019
34,AVENUE U,11223
35,NECK RD,11229
36,SHEEPSHEAD BAY,11235
37,BRIGHTON BEACH,11235
38,OCEAN PKWY,11235
39,BOROUGH HALL,11201
40,JAY ST-METROTEC,11201
41,DEKALB AV,11217
42,ATL AV-BARCLAY,11217
43,UNION ST,11215
44,4AV-9 ST,11215
45,PROSPECT AV,11215
46,25 ST,11691
47,36 ST,10012
48,45 ST,10003
49,53 ST,10022
50,BAY RIDGE AV,11220
51,77 ST,10075
52,86 ST,10028
53,BAY RIDGE-95 ST,11209
54,8 AV,10011
55,FT HAMILTON PKY,11218
56,NEW UTRECHT AV,11219
57,18 AV,11204
58,20 AV,11214
59,BAY PKWY,11214
60,9 AV,11219
61,50 ST,10019
62,55 ST,11219
63,71 ST,11228
64,79 ST,10024
65,25 AV,11214
66,BAY 50 ST,11214
67,CONEY IS-STILLW,11224
68,W 8 ST-AQUARIUM,11224
69,6 AV,10011
70,3 AV,10003
71,1 AV,10009
72,BEDFORD AV,11211
73,LORIMER ST,11211
74,GRAHAM AV,11211
75,GRAND ST,10002
76,MONTROSE AV,11206
77,MORGAN AV,11237
78,JEFFERSON ST,11237
79,MYRTLE-WYCKOFF,11237
80,HALSEY ST,11237
81,WILSON AV,11207
82,BUSHWICK AV,11207
83,ATLANTIC AV,11207
84,SUTTER AV,11207
85,LIVONIA AV,11212
86,NEW LOTS,11212
87,EAST 105 ST,11236
88,CANARSIE-ROCKAW,11236
89,JFK JAMAICA CT1,11435
90,MARCY AV,11211
91,HEWES ST,11211
92,FLUSHING AV,11206
93,KOSCIUSZKO ST,11221
94,GATES AV,11221
95,CHAUNCEY ST,11207
96,ALABAMA AV,11207
97,VAN SICLEN AV,11207
98,CLEVELAND ST,11208
99,NORWOOD AV,11208
100,CRESCENT ST,11208
101,CYPRESS HILLS,11208
102,75 ST-ELDERTS,11421
103,85 ST-FOREST PK,11421
104,WOODHAVEN BLVD,11373
105,104 ST,11418
106,111 ST,11368
107,121 ST,11418
108,CENTRAL AV,11221
109,KNICKERBOCKER,11237
110,SENECA AVE,11385
111,FOREST AVE,11385
112,FRESH POND RD,11385
113,METROPOLITAN AV,11211
114,INWOOD-207 ST,10034
115,DYCKMAN ST,10034
116,190 ST,10040
117,181 ST,10033
118,175 ST,10033
119,168 ST,10032
120,163 ST-AMSTERDM,10032
121,155 ST,10039
122,145 ST,10031
123,135 ST,10030
124,125 ST,10035
125,116 ST,10026
126,CATHEDRAL PKWY,10026
127,103 ST,10025
128,96 ST,10029
129,81 ST-MUSEUM,10024
130,72 ST,10021
131,59 ST COLUMBUS,10023
132,42 ST-PORT AUTH,10036
133,34 ST-PENN STA,10120
134,14 ST,10011
135,W 4 ST-WASH SQ,10012
136,SPRING ST,10012
137,WORLD TRADE CTR,10007
138,HIGH ST,11354
139,LAFAYETTE AV,11217
140,CLINTON-WASH AV,11238
141,FRANKLIN AV,11225
142,NOSTRAND AV,11225
143,KINGSTON-THROOP,11213
144,UTICA AV,11213
145,RALPH AV,11233
146,ROCKAWAY AV,11224
147,LIBERTY AV,11207
148,VAN SICLEN AVE,11207
149,SHEPHERD AV,11208
150,EUCLID AV,11208
151,GRANT AV,11208
152,80 ST,11417
153,88 ST,11417
154,ROCKAWAY BLVD,11417
155,OZONE PK LEFFRT,11419
156,AQUEDUCT N.COND,11417
157,AQUEDUCT RACETR,11417
158,BROAD CHANNEL,11693
159,BEACH 90 ST,11693
160,BEACH 98 ST,11694
161,BEACH 105 ST,11694
162,ROCKAWAY PARK B,11694
163,BEACH 67 ST,11692
164,BEACH 60 ST,11692
165,BEACH 44 ST,11691
166,BEACH 36 ST,11691
167,BEACH 25 ST,11691
168,FAR ROCKAWAY,11691
169,161/YANKEE STAD,10451
170,167 ST,10452
171,170 ST,10452
172,174-175 STS,10453
173,TREMONT AV,10457
174,182-183 STS,10453
175,FORDHAM RD,10468
176,KINGSBRIDGE RD,10468
177,BEDFORD PK BLVD,10468
178,NORWOOD 205 ST,10467
179,5 AV/53 ST,10022
180,LEXINGTON AV/53,10022
181,COURT SQ-23 ST,11101
