,STATION,zipcode
0,59 ST,10022
1,5 AV/59 ST,10022
2,57 ST-7 AV,10106
3,TIMES SQ-42 ST,10018
4,34 ST-HERALD SQ,10001
5,28 ST,10001
6,14 ST-UNION SQ,10003
7,8 ST-NYU,10003
8,CITY HALL,10007
9,CORTLANDT ST,10007
10,RECTOR ST,10006
11,WHITEHALL S-FRY,10004
12,DELANCEY/ESSEX,10002
13,PARK PLACE,10007
14,NEWKIRK PLAZA,11226
15,BOROUGH HALL,11201
16,JAY ST-METROTEC,11201
17,ATL AV-BARCLAY,11217
18,4AV-9 ST,11215
19,36 ST,10018
20,45 ST,10036
21,53 ST,10019
22,BAY RIDGE-95 ST,11209
23,71 ST,10021
24,79 ST,10075
25,BAY 50 ST,11214
26,W 8 ST-AQUARIUM,11224
27,MYRTLE-WYCKOFF,11237
28,EAST 105 ST,10029
29,CANARSIE-ROCKAW,11236
30,JFK JAMAICA CT1,11430
31,ALABAMA AV,11207
32,NORWOOD AV,11208
33,75 ST-ELDERTS,11421
34,85 ST-FOREST PK,11421
35,104 ST,10025
36,121 ST,10027
37,KNICKERBOCKER,10036
38,INWOOD-207 ST,10034
39,190 ST,10040
40,181 ST,10033
41,175 ST,10033
42,163 ST-AMSTERDM,10032
43,125 ST,10027
44,103 ST,10025
45,96 ST,10025
46,81 ST-MUSEUM,10024
47,72 ST,10021
48,59 ST COLUMBUS,10023
49,42 ST-PORT AUTH,10036
50,34 ST-PENN STA,10120
51,W 4 ST-WASH SQ,10012
52,HIGH ST,11201
53,CLINTON-WASH AV,11205
54,KINGSTON-THROOP,11213
55,SHEPHERD AV,11208
56,EUCLID AV,11208
57,GRANT AV,11208
58,AQUEDUCT N.COND,10019
59,AQUEDUCT RACETR,11420
60,BEACH 90 ST,11693
61,BEACH 98 ST,11694
62,BEACH 105 ST,11694
63,BEACH 67 ST,11692
64,BEACH 60 ST,11692
65,BEACH 44 ST,11691
66,BEACH 25 ST,11691
67,161/YANKEE STAD,10451
68,174-175 STS,10453
69,182-183 STS,10453
70,NORWOOD 205 ST,10467
71,5 AV/53 ST,10022
72,LEXINGTON AV/53,10010
73,COURT SQ-23 ST,11101
74,QUEENS PLAZA,11101
75,46 ST,10036
76,65 ST,10065
77,GRAND-NEWTOWN,11373
78,63 DR-REGO PARK,11374
79,FOREST HILLS 71,11375
80,75 AV,11375
81,JAMAICA 179 ST,11432
82,COURT SQ,11101
83,MYRTLE-WILLOUGH,11206
84,BEDFORD-NOSTRAN,11205
85,47-50 STS ROCK,10020
86,42 ST-BRYANT PK,10018
87,B'WAY-LAFAYETTE,10012
88,YORK ST,10013
89,SMITH-9 ST,11231
90,4 AV-9 ST,11215
91,15 ST-PROSPECT,11215
92,AVENUE N,11236
93,LEXINGTON AV/63,10010
94,ROOSEVELT ISLND,10044
95,21 ST-QNSBRIDGE,11101
96,JAMAICA VAN WK,11418
97,SUTPHIN-ARCHER,11435
98,72 ST-2 AVE,10021
99,86 ST-2 AVE,10028
100,96 ST-2 AVE,10128
101,NEWARK HW BMEBE,07114
102,GROVE STREET,10014
103,PAVONIA/NEWPORT,13416
104,TWENTY THIRD ST,10010
105,THIRTY ST,10016
106,NEWARK BM BW,07114
107,PATH WTC 2,10006
108,PATH NEW WTC,10007
109,SOUTH FERRY,10004
110,WTC-CORTLANDT,10006
111,FRANKLIN ST,10013
112,18 ST,10011
113,66 ST-LINCOLN,10023
114,116 ST-COLUMBIA,10027
115,137 ST CITY COL,10031
116,157 ST,10032
117,191 ST,10040
118,207 ST,10034
119,215 ST,10034
120,MARBLE HILL-225,10034
121,BOWLING GREEN,10004
122,BROOKLYN BRIDGE,10038
123,ASTOR PL,10003
124,33 ST,10001
125,GRD CNTRL-42 ST,10017
126,68ST-HUNTER CO,10021
127,138/GRAND CONC,10451
128,149/GRAND CONC,10451
129,BURNSIDE AV,10453
130,183 ST,10033
131,WOODLAWN,10470
132,HARLEM 148 ST,10039
133,3 AV-149 ST,10455
134,JACKSON AV,11101
135,INTERVALE AV,10459
136,SIMPSON ST,10459
137,FREEMAN ST,11222
138,WEST FARMS SQ,10460
139,219 ST,10034
140,WAKEFIELD/241,10470
141,3 AV 138 ST,10454
142,CYPRESS AV,10454
143,E 143/ST MARY'S,10454
144,WHITLOCK AV,10459
145,MORISN AV/SNDVW,10472
146,PARKCHESTER,10462
147,WESTCHESTER SQ,10461
148,BUHRE AV,10461
149,PELHAM BAY PARK,10465
150,VERNON-JACKSON,11101
151,HUNTERS PT AV,11101
152,QUEENSBORO PLZ,11101
153,39 AV,11101
154,33 ST-RAWSON ST,11101
155,40 ST LOWERY ST,11104
156,46 ST BLISS ST,11104
157,61 ST WOODSIDE,11377
158,74 ST-BROADWAY,11372
159,90 ST-ELMHURST,11373
160,103 ST-CORONA,11368
161,METS-WILLETS PT,11368
162,34 ST-HUDSON YD,10001
163,CLARK ST,11201
164,CROWN HTS-UTICA,11213
165,SUTTER AV-RUTLD,11212
166,STERLING ST,11225
167,FLATBUSH AV-B.C,11210
168,EASTCHSTER/DYRE,10466
169,ST. GEORGE,10301
170,RIT-MANHATTAN,10065
171,RIT-ROOSEVELT,10065
